sistema_ensino,tipo_escola,uf,nome_escola,codigo_curso,nome_curso,oferta,eixo_tecnologico,modalidade,data_criacao,carga_horaria_toral,modalidade_ensino,status_curso,tipo_oferta,vagas_ofertas,qtd_de_matriculas
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis Continente,5,Técnico em Guia de Turismo,Subsequente,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:13:07:00,800,Educação Presencial,Ativo,3,10,5
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis Continente,5,Técnico em Guia de Turismo,Subsequente,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:13:07:00,800,Educação Presencial,Ativo,3,10,5
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis Continente,5,Técnico em Guia de Turismo,Subsequente,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:13:07:00,800,Educação Presencial,Ativo,3,10,5
Federal,Escolas Técnicas,SP,SENAC PIRACICABA,33,Técnicas de Rejuvenescimento e cla,Concomitante,Ambiente e Saúde,Educação Presencial,19AUG19:15:01:00,24,Educação Presencial,Concluído,2,,11
Federal,Escolas Técnicas,SP,SENAC PIRACICABA,33,Técnicas de Rejuvenescimento e cla,Concomitante,Ambiente e Saúde,Educação Presencial,19AUG19:15:01:00,24,Educação Presencial,Concluído,2,,11
Federal,Escolas Técnicas,SP,SENAC PIRACICABA,33,Técnicas de Rejuvenescimento e cla,Concomitante,Ambiente e Saúde,Educação Presencial,19AUG19:15:01:00,24,Educação Presencial,Concluído,2,,11
Federal,Escolas Técnicas,PR,senac -francisco beltrão,10,QUALIDADE NO ATENDIMENTO AO CLIENTE,Concomitante,Gestão e Negócios,Educação Presencial,19AUG19:15:59:00,15,Educação Presencial,Concluído,2,,16
Federal,Escolas Técnicas,PR,senac -francisco beltrão,10,QUALIDADE NO ATENDIMENTO AO CLIENTE,Concomitante,Gestão e Negócios,Educação Presencial,19AUG19:15:59:00,15,Educação Presencial,Concluído,2,,16
Federal,Escolas Técnicas,MA,senac - Serviço nacional de aprendizagem comercial,11,Técnico em Administração,Concomitante,Gestão e Negócios,Educação a Distância,19AUG19:18:24:00,1000,Educação a Distância,Ativo,2,,3
Federal,Escolas Técnicas,MA,senac - Serviço nacional de aprendizagem comercial,11,Técnico em Administração,Concomitante,Gestão e Negócios,Educação a Distância,19AUG19:18:24:00,1000,Educação a Distância,Ativo,2,,3
